date,publisher,base,quote,rate
2026-06-02,ecb,EUR,USD,1.164900
2026-06-03,bcb_ptax,EUR,BRL,5.851200
2026-06-03,bcb_ptax,USD,BRL,5.041500
2026-06-03,ecb,EUR,BRL,5.828400
2026-06-03,ecb,EUR,CHF,0.916700
2026-06-03,ecb,EUR,GBP,0.863700
2026-06-03,ecb,EUR,USD,1.161400
2026-06-04,ecb,EUR,BRL,5.895100
2026-06-04,ecb,EUR,CHF,0.916800
2026-06-04,ecb,EUR,GBP,0.864900
2026-06-04,ecb,EUR,USD,1.164000
2026-06-05,bcb_ptax,EUR,BRL,5.910000
2026-06-05,bcb_ptax,USD,BRL,5.124400
2026-06-05,ecb,EUR,BRL,5.889700
2026-06-05,ecb,EUR,CHF,0.917500
2026-06-05,ecb,EUR,GBP,0.864330
2026-06-05,ecb,EUR,USD,1.164000
2026-06-08,bcb_ptax,EUR,BRL,5.968200
2026-06-08,bcb_ptax,USD,BRL,5.169500
2026-06-08,ecb,EUR,BRL,5.935300
2026-06-08,ecb,EUR,CHF,0.918700
2026-06-08,ecb,EUR,GBP,0.863600
2026-06-08,ecb,EUR,USD,1.154000
2026-06-09,bcb_ptax,EUR,BRL,5.974200
2026-06-09,bcb_ptax,USD,BRL,5.169300
2026-06-09,ecb,EUR,BRL,5.975100
2026-06-09,ecb,EUR,CHF,0.920600
2026-06-09,ecb,EUR,GBP,0.863400
2026-06-09,ecb,EUR,USD,1.157300
2026-06-10,bcb_ptax,EUR,BRL,5.979100
2026-06-10,bcb_ptax,USD,BRL,5.176300
2026-06-10,ecb,EUR,BRL,5.989600
2026-06-10,ecb,EUR,CHF,0.922200
2026-06-10,ecb,EUR,GBP,0.862280
2026-06-10,ecb,EUR,USD,1.153900
2026-06-11,bcb_ptax,EUR,BRL,5.927700
2026-06-11,bcb_ptax,USD,BRL,5.147800
2026-06-11,ecb,EUR,BRL,5.953600
2026-06-11,ecb,EUR,CHF,0.922100
2026-06-11,ecb,EUR,GBP,0.863300
2026-06-11,ecb,EUR,USD,1.153700
2026-06-12,bcb_ptax,EUR,BRL,5.882700
2026-06-12,bcb_ptax,USD,BRL,5.082700
2026-06-12,ecb,EUR,BRL,5.907600
2026-06-12,ecb,EUR,CHF,0.921700
2026-06-12,ecb,EUR,GBP,0.863050
2026-06-12,ecb,EUR,USD,1.156700
2026-06-15,bcb_ptax,EUR,BRL,5.849400
2026-06-15,bcb_ptax,USD,BRL,5.043000
2026-06-15,ecb,EUR,BRL,5.861300
2026-06-15,ecb,EUR,CHF,0.921200
2026-06-15,ecb,EUR,GBP,0.864830
2026-06-15,ecb,EUR,USD,1.160700
2026-06-16,bcb_ptax,EUR,BRL,5.898100
2026-06-16,bcb_ptax,USD,BRL,5.078000
2026-06-16,ecb,EUR,BRL,5.866900
2026-06-16,ecb,EUR,CHF,0.922400
2026-06-16,ecb,EUR,GBP,0.864710
2026-06-16,ecb,EUR,USD,1.159400
2026-06-17,bcb_ptax,EUR,BRL,5.871300
